"nt","nz","a","b","bmin","bmax","b3","dxK","dyK","zK","dxO","dyO","zO","x0","y0","z0","y1","z1","x2","z2","x3","y3","dab","dbh","db12","db","odev","inv","cen","rot","invK","cenK","rotK","dgam","amin","amax","tK","pK","tO","pO","d1","d2","d3","d4","d5","dxK","dyK","dxO","dyO","SG","SG0","g2","file","EpK","tem","cation","cnf","L","met","fntag"
"i","i","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","Ao","Ao","Ao","Ao","str","str","str","str","meV","K","str","str","c","str","str"
3,2,6.27945517000000,6.27945517000000,3.17687680291317,3.19376036164146,3.15604660145967,.897577125850735,.0821630341563653,2.48204556,-.484113969339057,-.576395636562593,5.42653405714286,0.,0.,0.,494.483481899834,209.40192,-341.234535323139,209.40192,-414.70820354973,-153.350090467414,0.,16.8835587282933,16.8835587282928,16.8835587282943,123.750345612961,2.56395024851142e-013,5.7062295426233e-013,3.28067733708365e-011,6.5996951182155e-013,5.11038112393585e-012,2.8596550384964e-012,-2.7945823,160.588833336856,160.588833336856,67.2391755619287,176.107429780203,89.758228523387,175.732921498364,171.244981444762,97.2234243525154,0,0,0,.897577125850735,.0821630341563653,-.484113969339057,-.576395636562593,"Pbca","Pbca","-x+1/2,-y+1,z+1/2","BC1A_Mao16a_L4",0,293.,"BC1A","","2","Mao16a",""
3,2,6.14301737500000,6.14301737500000,3.16589663584772,3.17086846804603,3.15205236602763,-.345563933948917,.539953787322704,2.482825,.428236183648468,-1.61372552347581,5.47876716666667,0.,0.,0.,530.995463123941,567.91355,-678.700029136971,567.91355,-250.563147870424,-659.111770843237,0.,4.97183219831532,4.97183219831487,4.97183219831587,83.6408585417033,5.76888805915069e-013,9.12704168179532e-013,2.32187735646408e-011,4.01652779576605e-013,1.36306857727337e-012,4.00663223973125e-012,2.7702406,151.590402785563,151.590402785563,37.1313455606655,-122.515609281927,40.3217877351219,-63.626157752629,188.232225115218,181.069974660474,178.379818588622,179.241623797773,0,-.345563933948917,.539953787322704,.428236183648468,-1.61372552347581,"Pbca","Pbca","-x+1/2,-y+1,z+1/2","C4A_Zhang22e_125K_L4",0,125.15,"C4A","","2","Zhang22e","125K"
3,2,6.18168885000000,6.18168885000000,3.14228973836924,3.14728630111279,3.16865050687928,.85447247632027,.00741623386534362,2.5462801,-1.0648876629806,-.00885827933916072,5.64797846666667,0.,0.,0.,562.58314063521,140.96957,-494.55420437963,140.96957,-301.499360947954,-124.530926988899,0.,4.99656274354343,4.99656274354332,4.99656274354399,83.2607177548625,0.,6.38629598872777e-013,2.38788407724575e-011,6.5071705969111e-013,2.17891407607261e-012,4.60850732219512e-012,-1.2596869,158.744820363479,158.744820363479,61.2394035773352,-178.997497214534,30.5916857470432,176.149210058454,213.699086825521,182.935922787301,187.486907693126,205.992519370566,0,.85447247632027,.00741623386534362,-1.0648876629806,-.00885827933916072,"Pbca","Pbca","-x+1/2,-y+1,z+1/2","C4A_Zhang22e_275K_L4",0,275.,"C4A","","2","Zhang22e","275K"
3,1,6.12984165500000,6.12984165500000,3.13982714060904,3.15328524699275,3.12663300756302,.00353488144909253,.535732171728799,2.45734819636266,-1.04035474676014,-1.66003095478592,6.12393627845737,0.,0.,0.,430.922902435622,566.903175001531,-206.130153931135,566.903175001531,-325.699381377601,-573.877343086746,0.,13.4581063836925,13.4581063836917,13.4581063836956,146.371508194894,2.56395024851142e-013,6.76082371806797e-013,1.56836481535565e-011,9.26252671967094e-013,1.09867037488261e-012,8.82283675155203e-012,-4.1939042,153.840254218186,153.840254218186,24.310672469674,-62.7794984783776,29.8372309592372,-108.899636429962,181.937689737021,184.673368722175,186.568406517568,182.126744186484,181.262290074193,.00353488144909253,.535732171728799,-1.04035474676014,-1.66003095478592,"P21/b11","P21/c","","C5A_Hossain24_L4",0,100.0,"C5A","","1","Hossain24",""
3,1,6.17148780500000,6.17148780500000,3.13265674498148,3.15112297579596,3.18686007983708,.869239700015174,-.0560558053346871,2.57199641894581,-1.91583727195484,.501996832326624,6.64233403904162,0.,0.,0.,586.027067642113,78.9025250228672,-505.079819718834,78.9025250228672,-298.553285231188,-100.000546450648,0.,18.4662308144657,18.4662308144653,18.4662308144663,101.18528633581,5.73316704659901e-013,8.73933417532002e-013,1.11890605519361e-011,1.37898984239814e-012,1.91799209225395e-012,6.45369099685479e-012,-1.5040259,158.303875513826,158.303875513826,63.9926116202063,179.910510098969,32.4593345925766,162.811133035921,182.498597028179,185.324243421492,189.933075322311,177.258789429919,175.933895792926,.869239700015174,-.0560558053346871,-1.91583727195484,.501996832326624,"P21/b11","P21/c","","C6A_Zhang22e_125K_L4",0,125.0,"C6A","","1","Zhang22e","125K"
3,2,6.18276694000000,6.18276694000000,3.14213179033596,3.14952471322156,3.16677895809599,.908024672365854,.0352272163977667,2.52177909,-1.26529972138026,-.0106299670533607,6.85557584,0.,0.,0.,567.405392540167,132.794074,-478.440351826186,132.794074,-296.373625299881,-106.546879069736,0.,7.39292288558324,7.39292288558313,7.39292288558424,87.8189931917145,0.,5.44839427808676e-013,1.48451079547584e-011,1.03451155105713e-012,2.51566537974005e-012,4.30716020670464e-012,-1.6467672,158.649555892781,158.649555892781,60.3848095275858,-178.039083395262,15.8442023984451,179.04443433496,179.278593112357,178.255039072764,180.407868949551,177.555328080763,178.121267931023,.908024672365854,.0352272163977667,-1.26529972138026,-.0106299670533607,"Pbca","Pbca","-x+1/2,-y+1,z+1/2","C6A_Zhang22e_275K_L4",0,275.0,"C6A","","2","Zhang22e","275K"
3,1,6.10963865500000,6.10963865500000,3.13704263433344,3.14649579037191,3.13577468209874,.0450720587746649,.546568949419737,2.52785225206939,-1.21221242303216,-.848080397979012,8.08073026231789,0.,0.,0.,461.192551301584,571.045357899413,-291.110690334181,571.045357899413,-336.298866993234,-627.519576565773,0.,9.45315603845698,9.45315603845631,9.45315603845964,124.735838607651,2.58390346966415e-013,1.0417280480036e-012,2.45237539780314e-011,6.51945408230663e-013,1.40493857314609e-012,6.02603548023784e-012,-3.1833853,152.977705569677,152.977705569677,26.8037668798993,-89.245838681282,1.53579292111291,66.7255217935119,158.279768097590,175.555240154712,71.9356667231377,174.557029213847,182.058590578008,.0450720587746649,.546568949419737,-1.21221242303216,-.848080397979012,"P21/b11","P21/c","","C8A_Zhang22e_125K_L4",0,125.,"C8A","","1","Zhang22e","125K"
3,1,6.09113623500000,6.09113623500000,3.11535317389559,3.11753174823026,3.16845372966919,.940608789892733,-.05109665382464,2.53922333497461,-.382034890186079,.438738879088317,5.68884809555098,0.,0.,0.,660.761240294294,11.0897358239097,-673.01966458573,11.0897358239097,-230.293670909616,-54.9153137235283,0.,2.17857433467694,2.17857433467594,2.17857433467916,91.5466929852759,5.73316704659901e-013,1.02056009814445e-012,3.26991824770963e-011,6.02153145689121e-013,2.21743715657293e-012,8.65362883713883e-012,.2308017,155.514490952524,155.514490952525,59.7969406551196,-171.915201857932,75.9022219596008,-95.2926694202652,202.516431043155,63.4063282213102,0,0,0,.940608789892733,-.05109665382464,-.382034890186079,.438738879088317,"P21/b11","P21/c","","CHMA_Hossain24_L4",0,100.0,"CHMA","","1","Hossain24",""
3,1,6.07644242000000,6.07644242000000,3.11015286407758,3.1323444766596,3.14540410573936,.0882013677142548,.539977240371882,2.44991235257583,-.915890146763681,-1.7732858627775,6.05963977181497,0.,0.,0.,437.334598892157,565.806299946035,-135.273299449857,565.806299946035,-303.629264124307,-521.979930315903,0.,22.1916125820125,22.1916125820115,22.1916125820156,181.407068839147,5.75328740613011e-013,1.03262927158899e-012,1.229510910927e-011,1.59342146473699e-012,1.43467064170336e-012,2.5077532143519e-005,-5.6864173,153.509841691205,153.509841691205,21.397420438631,-61.0769156556853,31.60019990204,-106.305484321093,184.881901895683,183.740840954071,186.293263157185,178.269941635819,179.242624150869,.0882013677142548,.539977240371882,-.915890146763681,-1.7732858627775,"P21/b11","P21/c","","cryst1C5A_R2SCAN-RVV10paw600_L4",-260.468,0,"C5A","","1","~R2SCAN",""
3,1,6.09405433500000,6.09405433500000,3.10418952065163,3.11239022834303,3.19207722031325,.901246907728256,-.015642430621341,2.49114983901509,-2.00358508040412,.571242631899588,6.53164272967321,0.,0.,0.,610.629923866406,64.975361720126,-554.333309710112,64.975361720126,-301.13264118706,-91.6665982143656,0.,8.20070769139725,8.20070769139691,8.20070769139791,103.187451995124,2.56395024851142e-013,9.70122552133095e-013,4.07592714854765e-011,5.89777253934257e-013,2.92321705529695e-012,2.43162103177319e-005,-1.0581465,157.211211169013,157.211211169013,64.9636192008724,-175.473788653857,34.3138925205291,161.109447482538,188.549571063553,180.041769821084,187.371270373532,176.570437687957,177.809594044441,.901246907728256,-.015642430621341,-2.00358508040412,.571242631899588,"P21/b11","P21/c","","cryst1C6A_R2SCAN-RVV10paw600_L4",-240.104,0,"C6A","","1","~R2SCAN",""
3,1,6.05454866000000,6.05454866000000,3.12202361346136,3.13838982096153,3.15745596117326,.0114689630487028,.593537146356659,2.4609501134494,-1.30001957304607,-.750267192876521,7.99874314004865,0.,0.,0.,527.615862141324,596.172034129378,-264.405935656612,596.172034129378,-398.080783032446,-574.547330046579,0.,16.3662075001569,16.3662075001564,16.3662075001669,159.217594691723,0.,8.58181572124267e-013,3.82309050571795e-011,6.74692630165968e-013,1.44417312838216e-012,3.06390463899707e-005,-4.9642571,150.53163820533,150.53163820533,24.0883273334045,-89.2235575752789,1.45760795962398,74.8748565952407,175.701472308429,176.813431818025,67.3998645328132,176.314973464602,181.777608428067,.0114689630487028,.593537146356659,-1.30001957304607,-.750267192876521,"P21/b11","P21/c","","cryst1C8A_R2SCAN-RVV10paw600_L4",-386.727,0,"C8A","","1","~R2SCAN",""
3,1,6.06845958500000,6.06845958500000,3.10571554853057,3.10777706790872,3.18422306207547,.971956577927179,-.0550376822661161,2.48782655230213,-.360685341080631,.497412489483501,5.61100280853902,0.,0.,0.,667.291248271849,-6.67297010203354,-693.109412815607,-6.67297010203354,-225.074177177664,-32.6540167659235,0.,2.0615193781397,2.0615193781387,2.0615193781417,95.0117449195069,2.56395024851142e-013,1.07392320412769e-012,2.78400739692597e-011,8.47113627135512e-013,1.41693957858438e-012,2.32741518402322e-005,.488161,155.192578870475,155.192578870475,60.6712504483522,-172.074893378443,74.2087361159424,-96.3153115189081,200.962511257120,63.2446152545548,0,0,0,.971956577927179,-.0550376822661161,-.360685341080631,.497412489483501,"P21/b11","P21/c","","cryst1CHMA_R2SCAN-RVV10paw600_L4",-199.815,0,"CHMA","","1","~R2SCAN",""
3,1,5.93515026000000,5.93515026000000,3.11266129301146,3.12670145474162,3.15339153453276,-.587046467858807,.546285791014175,2.80270882590037,.0323824483376369,-1.95223718717118,6.81115466308547,0.,0.,0.,785.159836496044,556.263042133557,-1034.19413886782,556.263042133557,-343.325803097525,-540.759303104204,0.,14.040161730165,14.0401617301642,14.040161730168,98.647482956382,5.87474804595221e-013,1.20302624889991e-012,2.50920228355452e-011,1.98910789819661e-012,1.38769699855071e-012,6.11743216713814e-012,4.8563436,144.069130537643,144.069130537643,19.0555109343648,-103.92678251485,103.982743551518,-55.8028066283984,173.399721771740,177.215656660310,265.705997870617,0,0,-.587046467858807,.546285791014175,.0323824483376369,-1.95223718717118,"P21/b11","P21/c","","cryst1PEA2Br_R2SCAN-RVV10paw600_L4",-228.416,0,"PEA2Br","","1","~R2SCAN",""
3,1,6.03923283500000,6.03923283500000,3.08309045834628,3.09832836281866,3.17436399948352,.948220958786626,-.0090430436837341,2.56172212934617,1.01999107100116,-1.00008818841045,5.97090284783152,0.,0.,0.,658.708130457019,22.4094883699702,-693.767969649233,22.4094883699702,-145.767849228563,-28.1945985014939,0.,15.2379044723702,15.2379044723699,15.2379044723716,53.6691048887388,0.,6.075958227808e-013,3.99073210175084e-011,7.82893747103495e-013,1.79153279780367e-012,3.43935982504991e-005,.6643831,155.374260144931,155.374260144931,68.0501422045321,179.146132337879,33.8223802406314,137.625721497485,187.240360357661,301.635672233987,286.855569973070,0,0,.948220958786626,-.0090430436837341,1.01999107100116,-1.00008818841045,"P21/b11","P21/c","","cryst1PEA4F_R2SCAN-RVV10paw600_L4",-253.849,0,"PEA4F","","1","~R2SCAN",""
